,movie_id,movie_name,year,genre,overview,director,cast,movie_id2,Keywords
320,tt4169250,M.S. Dhoni: The Untold Story,2016,"Biography, Drama, Sport",The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,"Mathur Goswami, Neeraj Pandey","Sushant Singh Rajput, Kiara Advani, Anupam Kher, Disha Patani",4169250,"cricketer, captain, ticket collector, rags to riches, based on true story, character name in title, cricket the sport, cricket sport, biker, year 2011, love"
321,tt1948150,Singham,2011,"Action, Crime, Drama",A truly honest police officer is transferred to a town controlled by a gangster he has humiliated. The gangster believes he can use good power to bring down this officer who made him look foolish and weak.,Rohit Shetty,"Ajay Devgn, Prakash Raj, Sudhanshu Pandey, Kajal Aggarwal",1948150,"cop universe, india, character name as title, one word title, surname as title, asian indian, indian, whipping, fistfight, dating, tough cop, police constable, scooter, motorcycle, police protagonist, father son relationship, scene during opening credits, scene before opening credits, sunglasses, ghost costume, fat man, father daughter relationship, corruption, gangster, blackmail, ransom demand, ransom money, two on a motorcycle, movie theater, thug, attraction, wedding, cell phone, telephone call, musical number, punched in the face, hit on the head, car chase, kicked in the butt, suv, slapped in the face, ringing telephone, man slaps a man, corrupt official, police corruption, election, cardboard cutout, beach, male bonding, machismo"
322,tt2356180,Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",Rakeysh Omprakash Mehra,"Farhan Akhtar, Deepak Singh Rawat, Japtej Singh, Divya Dutta",2356180,"based on real people, olympic games, melbourne 1956 summer olympics, 1960 olympics, reference to rome 1960 summer olympics, asian games, commonwealth games, athletics, life, stadium, year 1956, year 1958, year 1960, 1950s, 1960s, 1940s, year 1947, partition of india, spirit, journey, love, parent, track, refugee camp, gold, sikh, athlete, runner, running, patriotism, ball, boot camp, army, switchblade, first love, train, three word title, repetition in title, based on true story, character name in title"
323,tt13438922,All Ladies Do It,2020,"Drama, Thriller",A Handsome young man gets erotically involved with a Sultry seductive wife of an impotent man only to find himself tangles in a dangerous web of lies and cheat,"Akhil Gautam, Akhil Gautam","Sejal Shah, Vikas Sachdeva, Ajay Bafna",13438922,"female frontal nudity, female pubic hair, female topless nudity, large breasts, labia closeup, labia lips, open vagina, hairy labia, female nudity, female rear nudity, female full frontal nudity, nuefliks, impotent husband, cheating wife, neglected wife, footsie under the table, woman grabbing penis on underwear, softcore, erotic, sex with husband's friend, sex with friend's wife, wife catches husband cheating on her, cheating husband, rough sex, wife, young, man, male rear nudity, simulated blowjob"
324,tt6129302,Bhavesh Joshi Superhero,2018,"Action, Crime, Drama","The origin story of Bhavesh Joshi, an Indian superhero, who sets out to fulfill his slain friend's wish to clean and reform the country, by training himself to fight and wearing a mask.",Vikramaditya Motwane,"Harshvardhan Kapoor, Priyanshu Painyuli, Ashish Verma, Shreiyah Sabharwal",6129302,"vigilante, friendship, violence, death, killed with a hammer, mask, corruption, three friends, internet, three word title, night, explosion, chase, fight, fistfight, heroism, bollywood, social issues, martial arts, weapons, one against many, bike, superhero, superhero action"
325,tt1985981,Desi Boyz,2011,"Comedy, Drama, Romance","Two friends lose their jobs, then part bitterly after they get exposed as male strippers.",Rohit Dhawan,"Akshay Kumar, John Abraham, Deepika Padukone, Chitrangda Singh",1985981,friend
326,tt8396128,Pataakha,2018,"Action, Comedy, Drama","Based on Charan Singh Pathik's short story Do Behnein, Pataakha narrates the story of two feuding sisters who realize the true nature of their relationship only after marriage ""separates"" them.",Vishal Bhardwaj,"Sanya Malhotra, Radhika Madan, Sunil Grover, Vijay Raaz",8396128,based on story
327,tt1629376,7 Khoon Maaf,2011,"Comedy, Drama, Mystery","Susanna is hungry for love and will go to any extent to find it in its purest form. In her quest for the perfect man, she gets married a number of times as each of her husband's die mysteriously.",Vishal Bhardwaj,"Priyanka Chopra Jonas, Vivaan Shah, Neil Nitin Mukesh, John Abraham",1629376,"love, husband wife relationship, marriage, confession, arson, doctor, russian spy, snake pit, forensics, russian roulette, female protagonist, religion, interfaith marriage, black widow, panther, female serial killer, poetry, poet, interracial relationship, drug overdose, musician, military officer, serial killer, dog, police officer, based on short story, forgiveness, blood, betrayal, polygamy, murder"
328,tt8907986,Angrezi Medium,2020,"Comedy, Drama","When his daughter decides to further her studies in London, a hardworking Rajasthani businessman does everything in power to make her dreams come true.",Homi Adajania,"Irrfan Khan, Radhika Madan, Kareena Kapoor, Deepak Dobriyal",8907986,daughter
329,tt26008876,Janaki Jaane,2023,"Drama, Family","Struggling with panic disorder, Janaki is ecstatic when Unni Mukundan proposes to marry her. Things go south when Janaki's fears land her in serious trouble.",Aneesh Upasana,"Saiju Kurup, Sharafudheen, Johny Antony, Anarkali Marikar",26008876,marriage
